onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.608	0	act	0.46	4	left	cor	0.62	2.04
12.6904	0	act	0.34	4	left	err	0.51	0.96
21.9066	0	act	0.36	5	right	cor	0.6	2
31.7902	0	act-bad	0.54	5	left	cor	0.45	2.68
41.0882	0	act	0.44	4	right	cor	0.54	1.7
50.7478	0	act	0.42	4	left	cor	0.76	1.26
59.8692	0	act-bad	0.54	3	left	cor	0.54	2.68
69.0294	0	act	0.38	3	right	cor	0.46	2.66
78.589	0	act	0.34	2	right	err	0.45	2.9
88.3264	0	act	0.38	3	right	cor	0.5	1.8
97.949	0	act	0.4	3	right	err	0.52	1.74
107.866	0	act	0.42	4	right	err	0.53	2.66
121.5686	0	obs	0.46	4	left	cor	0.5	1.8
130.6482	0	obs	0.42	4	right	err	0.41	0.76
140.3454	0	obs	0.34	4	left	err	0.42	2.84
149.568	0	obs	0.34	2	right	err	0.68	0.62
159.3084	0	obs	0.38	3	right	cor	0.72	5.04
168.8676	0	obs-bad	0.54	5	left	cor	0.76	2.06
178.165	0	obs	0.42	4	left	cor	0.71	4.22
187.2844	0	obs	0.38	3	right	cor	0.51	1.82
196.8996	0	obs	0.36	5	right	cor	0.48	1.76
206.7872	0	obs	0.4	3	right	err	0.69	4.18
216.703	0	obs	0.44	4	right	cor	0.75	1.28
226.3648	0	obs-bad	0.54	3	left	cor	0.58	2.76
239.5262	0	act	0.4	5	left	cor	0.31	0.62
248.7836	0	act	0.36	5	left	err	0.31	0.96
258.2232	0	act	0.4	6	left	cor	0.55	1.68
267.6054	0	act	0.42	6	left	err	0.16	3.26
276.6436	0	act-bad	-0.02	7	right	err	0.51	2.56
286.4824	0	act	0.5	8	right	cor	0.47	0.94
296.0056	0	act	0.36	8	right	err	0.38	3.22
305.7848	0	act	0.5	9	left	cor	0.59	1.18
314.782	0	act-bad	-0.02	9	right	err	0.5	2.6
324.7446	0	act	0.44	10	right	cor	0.67	0.64
334.7622	0	act	0.48	10	left	cor	0.8	3.6
344.2444	0	act-bad	0.52	9	left	cor	0.64	2.08
357.5828	0	obs	0.48	10	left	cor	0.94	3.88
367.0616	0	obs	0.42	6	left	err	0.05	3.48
376.104	0	obs-bad	0.52	7	right	cor	0.81	1.22
385.9414	0	obs	0.36	5	left	err	0.04	1.5
395.3806	0	obs	0.5	8	right	cor	0.33	3.32
404.901	0	obs	0.4	5	left	cor	0.87	1.74
414.1636	0	obs	0.4	6	left	cor	0.9	0.6
423.5408	0	obs-bad	0.52	9	right	cor	0.52	0.54
433.503	0	obs	0.5	9	left	cor	0.73	1.46
442.5024	0	obs-bad	0.52	9	left	cor	0.53	1.86
451.843	0	obs	0.44	10	right	cor	0.49	2.98
461.8624	0	obs	0.36	8	right	err	0.64	2.7
