onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.8272	0	act-bad	0.58	12	left	cor	0.47	2.64
13.1264	0	act-bad	-0.02	12	right	err	0.53	0.92
23.146	0	act	0.38	13	right	cor	0.98	0.76
33.069	0	act	0.44	13	right	cor	0.86	1.32
42.9056	0	act-bad	0.58	12	right	cor	0.51	1.82
52.789	0	act	0.36	12	left	cor	0.98	2.76
61.8634	0	act	0.48	11	left	cor	0.67	2.94
71.3088	0	act	0.38	11	left	err	0.24	0.48
80.5652	0	act	0.42	12	left	cor	0.98	2.76
89.9084	0	act-bad	0.74	12	left	cor	0.5	0.98
99.1276	0	act-bad	0.52	11	right	cor	0.52	1.04
108.6482	0	act	0.4	11	right	err	0.35	2.08
122.3026	0	obs-bad	0.74	12	left	cor	0.98	3.96
131.5222	0	obs	0.44	13	right	cor	0.63	0.86
141.3646	0	obs-bad	0.52	12	right	cor	0.41	1.16
151.382	0	obs	0.48	11	left	cor	0.62	2.84
160.8224	0	obs	0.4	11	right	err	0.43	1.92
170.4836	0	obs	0.38	13	right	cor	0.86	0.52
180.4012	0	obs-bad	0.58	12	left	cor	0.87	1.34
189.7024	0	obs-bad	0.58	12	right	cor	0.39	1.58
199.583	0	obs	0.42	12	left	cor	0.69	2.18
208.923	0	obs	0.38	11	left	err	0.34	0.68
218.1824	0	obs	0.36	12	left	cor	0.96	2.72
227.261	0	obs-bad	0.52	11	right	cor	0.48	0.96
240.7852	0	act	0.48	12	right	cor	0.7	2.2
250.4018	0	act	0.44	12	left	err	0.31	2.16
259.5222	0	act	0.46	13	right	cor	0.8	3.2
269.2194	0	act	0.38	13	right	err	0.49	0.98
279.002	0	act	0.5	14	right	cor	0.69	3.38
288.7412	0	act	0.46	14	left	cor	0.81	3.62
298.2216	0	act	0.4	13	left	err	0.49	0.6
307.379	0	act	0.42	14	left	cor	0.76	1.12
316.4244	0	act	0.48	14	right	err	0.49	0.6
326.3808	0	act-bad	0.52	15	right	cor	0.66	0.92
335.941	0	act	0.4	15	left	cor	0.96	0.72
345.3204	0	act	0.34	14	left	err	0.32	0.64
358.32	0	obs	0.48	14	right	err	0.83	3.26
368.2806	0	obs	0.4	13	left	err	0.25	1.08
377.443	0	obs	0.46	14	left	cor	0.95	3.9
386.9234	0	obs	0.34	14	left	err	0.01	4.02
395.9226	0	obs	0.46	13	right	cor	0.47	0.64
405.6198	0	obs	0.48	12	right	cor	0.53	1.86
415.2392	0	obs	0.44	12	left	err	0.02	2.74
424.3576	0	obs	0.4	15	left	cor	0.98	0.76
433.739	0	obs	0.5	14	right	cor	0.7	0.58
443.4814	0	obs	0.38	13	right	err	0.29	0.58
453.2568	0	obs-bad	0.52	15	right	cor	0.89	1.38
462.8184	0	obs	0.42	14	left	cor	0.97	1.54
