onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.4366	0	act-bad	0.58	11	right	err	0.73	1.32
14.3574	0	act-bad	0.66	12	right	cor	0.64	2.3
24.1984	0	act	0.4	12	left	err	0.05	1.48
33.3598	0	act	0.5	13	right	cor	0.63	2.06
43.2392	0	act-bad	0.56	13	left	cor	0.53	3.86
52.3566	0	act	0.5	12	left	cor	0.6	2.78
61.6192	0	act	0.48	12	right	cor	0.62	1.24
71.3964	0	act	0.44	11	right	err	0.22	5.54
81.1376	0	act	0.44	12	right	cor	0.69	4.18
90.7952	0	act-bad	0.68	12	left	cor	0.45	5.08
100.0186	0	act	0.48	11	right	cor	0.78	3.22
109.6368	0	act	0.36	11	right	cor	0.76	6.06
123.1984	0	obs-bad	0.66	12	right	cor	0.69	4.98
133.0344	0	obs	0.48	12	right	cor	0.62	5.24
142.8154	0	obs	0.36	11	right	cor	0.84	5.28
152.3726	0	obs-bad	0.56	13	left	cor	0.92	4.64
161.4942	0	obs	0.5	12	left	cor	0.55	2.88
170.7576	0	obs	0.48	11	right	cor	0.94	2.68
180.3768	0	obs	0.4	12	left	err	0.01	1.56
189.5374	0	obs	0.5	13	right	cor	0.49	1.78
199.4168	0	obs	0.44	11	right	err	0.55	3.1
209.154	0	obs-bad	0.68	12	left	cor	0.67	3.34
218.3762	0	obs	0.44	12	right	cor	0.52	1.74
228.0318	0	obs-bad	0.58	11	right	err	0.31	3.42
241.9532	0	act-bad	0.64	10	right	err	0.52	4.54
251.9154	0	act-bad	0.56	11	right	cor	0.27	5.44
261.936	0	act	0.44	11	left	cor	0.91	1.42
271.2354	0	act	0.42	10	left	cor	0.77	4.34
280.6126	0	act-bad	0.52	10	left	cor	0.81	1.96
289.6552	0	act	0.48	9	right	err	0.66	5.32
299.1754	0	act	0.48	10	left	cor	0.79	4
308.615	0	act	0.42	10	left	cor	0.92	1.84
317.6102	0	act	0.42	9	left	cor	0.78	3.56
327.0946	0	act-bad	0.46	9	right	cor	-1	-0.02
336.7918	0	act	0.44	8	left	cor	0.89	2.58
345.8744	0	act	0.44	8	left	cor	0.85	2.5
359.214	0	obs	0.42	9	left	cor	0.81	3.62
368.6912	0	obs	0.48	9	right	err	0.52	2.94
378.2106	0	obs	0.46	9	right	cor	0.53	2.66
387.9102	0	obs-bad	0.52	10	left	cor	0.91	1.42
396.9536	0	obs	0.44	11	left	cor	0.85	1.3
406.2498	0	obs-bad	0.56	11	right	cor	0.44	2.88
416.2702	0	obs	0.44	8	left	cor	0.82	2.44
425.6124	0	obs	0.44	8	left	cor	0.83	2.46
434.693	0	obs	0.42	10	left	cor	0.84	4.48
444.0712	0	obs	0.42	10	left	cor	0.6	1.2
453.0716	0	obs-bad	0.64	10	right	err	0.45	2.5
463.027	0	obs	0.48	10	left	cor	0.76	3.12
