onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.779	0	act	0.44	9	left	cor	0.8	1.6
13.0342	0	act-bad	0.82	9	left	err	0.54	2.68
22.4786	0	act	0.46	10	left	cor	0.91	0.62
31.854	0	act	0.32	10	left	cor	0.69	0.6
41.0754	0	act	0.48	9	left	err	0.62	0.84
50.1158	0	act	0.34	10	left	cor	0.91	0.62
59.2352	0	act	0.32	10	right	err	0.04	2.7
69.1556	0	act	0.48	11	left	err	0.56	1.92
78.498	0	act	0.5	12	right	err	0.31	0.62
88.0134	0	act	0.44	13	left	cor	0.98	2.76
97.0976	0	act-bad	0.58	13	right	cor	0.9	0.6
106.755	0	act	0.42	12	right	cor	0.91	1.42
120.3148	0	obs	0.32	10	right	err	0.14	2.5
130.2358	0	obs	0.5	12	right	err	0.45	3.08
139.7526	0	obs	0.48	11	left	err	0.52	1.84
149.0938	0	obs	0.44	13	left	cor	0.99	2.78
158.1722	0	obs	0.48	9	left	err	0.18	3.22
167.2136	0	obs-bad	0.58	13	right	cor	0.95	0.7
176.874	0	obs	0.44	9	left	cor	0.91	1.82
186.1334	0	obs	0.42	12	right	cor	0.52	2.54
195.6956	0	obs	0.46	10	left	cor	0.94	0.68
205.071	0	obs	0.34	10	left	cor	0.96	0.72
214.1952	0	obs-bad	0.82	9	left	err	0.75	3.1
223.6328	0	obs	0.32	10	left	cor	0.87	3.74
236.8522	0	act-bad	-0.02	12	right	err	0.51	1.82
246.7324	0	act	0.38	13	right	cor	0.56	4.86
256.752	0	act	0.44	13	right	err	0.42	1.14
266.4944	0	act-bad	0.7	14	left	cor	0.9	1.8
275.4936	0	act	0.48	14	left	cor	0.96	3.52
284.654	0	act-bad	0.54	13	right	cor	0.5	1
294.4314	0	act	0.4	13	right	err	0.43	0.72
304.3908	0	act	0.38	14	right	cor	0.97	3.54
314.0912	0	act	0.4	14	left	cor	0.93	1.46
323.3906	0	act	0.5	13	right	cor	0.77	2.34
333.0108	0	act	0.4	13	left	cor	0.97	3.94
342.4904	0	act-bad	0.54	12	right	cor	0.85	1.3
356.333	0	obs	0.38	14	right	cor	0.52	0.54
366.032	0	obs-bad	0.7	14	left	cor	0.98	1.96
375.0298	0	obs-bad	0.52	12	right	cor	0.99	2.82
384.91	0	obs-bad	0.54	12	right	cor	0.75	1.1
394.7476	0	obs	0.44	13	right	err	0.53	0.92
404.4896	0	obs	0.38	13	right	cor	0.71	0.56
414.5092	0	obs	0.4	14	left	cor	0.85	1.3
423.8086	0	obs	0.4	13	left	cor	0.98	3.96
433.289	0	obs	0.4	13	right	err	0.48	0.62
443.2514	0	obs-bad	0.54	13	right	cor	0.65	1.3
453.032	0	obs	0.48	14	left	cor	1	3.6
462.1912	0	obs	0.5	13	right	cor	0.72	2.24
